    20 Massalia           E. Bowell        6.50  0.25 0.81 145.5 S       0   0   0   0   0   0 55984 1652 20101031  20.538036 256.712920 206.190608  0.707718 0.14189593   2.40910362 20100307 1.9E-02  4.0E-05 20100919 4.4E-02 20110317 5.2E-02 20171223 5.2E-02 20171223
    21 Lutetia            E. Bowell        7.35  0.11 0.70  95.8 M       0   0   0   0   0   0 52670 1536 20101031 259.928755 250.235478  80.896959  3.063841 0.16287028   2.43565549 20100708 1.6E-02 -1.4E-05 20100919 5.7E-02 20110716 6.8E-02 20150825 6.7E-02 20150825
    22 Kalliope           E. Bowell        6.45  0.21 0.69 181.0 M       0   0   0   0   0   0 57077 1885 20101031 302.604619 354.817029  66.139508 13.704342 0.10201445   2.91236454 20100811 3.6E-02 -8.6E-05 20100919 3.6E-02 20100905 3.8E-02 20150909 3.8E-02 20150909
    23 Thalia             E. Bowell        6.95  0.15 0.85 107.5 S       0   0   0   0   0   0 52516 1279 20101031 337.443986  60.745899  66.899515 10.114226 0.23436045   2.62548031 20091025 3.0E-02  1.7E-04 20100919 6.7E-02 20110125 6.7E-02 20110125 6.6E-02 20110125
    24 Themis             E. Bowell        7.08  0.19 0.68               0   0   0   0   0   0 53484 1800 20101031 164.449830 107.687308  36.005336  0.759540 0.13082194   3.12953028 20100816 2.8E-02 -1.4E-04 20100919 3.3E-02 20110912 4.5E-02 20200415 4.5E-02 20200415
    25 Phocaea            E. Bowell        7.83  0.15 0.94  75.1 S       0   0   0   0   0   0 53461 1884 20101031  70.973971  90.253389 214.226172 21.592002 0.25609369   2.39953930 20100908 3.0E-02  2.2E-04 20100919 3.7E-02 20101103 5.1E-02 20170805 5.1E-02 20170805
    26 Proserpina         E. Bowell        7.5   0.15 0.88  95.1 S       0   0   0   0   0   0 54632 1129 20101031 118.499369 194.439128  45.809239  3.562985 0.08767948   2.65867252 20100908 4.3E-02  6.9E-06 20100919 4.3E-02 20100920 6.0E-02 20180706 6.0E-02 20180706
    27 Euterpe            E. Bowell        7.0   0.15 0.87               0   0   0   0   0   9 57245 1811 20101031 205.254490 356.651233  94.804150  1.583777 0.17311398   2.34580858 20100816 2.0E-02 -1.0E-04 20100919 3.8E-02 20111008 5.4E-02 20151226 5.4E-02 20151226
    28 Bellona            E. Bowell        7.09  0.15 0.85 120.9 S       0   0   0   0   0  10 53636 1558 20101031 332.508557 344.419034 144.345153  9.431466 0.15030429   2.77571828 20100204 2.2E-02  8.6E-05 20100919 4.5E-02 20110130 4.5E-02 20110130 4.7E-02 20191226
    29 Amphitrite         E. Bowell        5.85  0.20 0.83 212.2 S       0   0   0   0   0  10 56500 1604 20101031 256.573685  62.841354 356.487869  6.096599 0.07337351   2.55393959 20100903 2.7E-02 -1.6E-04 20100919 4.1E-02 20111111 4.4E-02 20191019 4.4E-02 20191019
    30 Urania             E. Bowell        7.57  0.15 0.87  99.7 S       0   0   0   0   0   0 54950 1464 20101031 269.564984  87.021048 307.726994  2.098605 0.12738096   2.36484843 20100811 2.6E-02 -1.2E-04 20100919 5.6E-02 20111115 5.8E-02 20180923 5.7E-02 20180923
    31 Euphrosyne         E. Bowell        6.74  0.15 0.67 255.9         0   0   0   0   0   0 54706 1147 20101031 261.897255  61.665051  31.179077 26.312404 0.22425561   3.15286367 20100816 3.8E-02 -1.5E-04 20100919 4.2E-02 20110921 5.7E-02 20121230 5.7E-02 20121230
    32 Pomona             E. Bowell        7.56  0.15 0.86  80.8 S       0   0   0   0   0   9 53448 1137 20101031  18.603240 338.812098 220.539030  5.529433 0.08264755   2.58712066 20100903 2.4E-02 -9.2E-06 20100919 5.9E-02 20110710 6.5E-02 20190531 6.5E-02 20190531
    33 Polyhymnia         E. Bowell        8.55  0.33 0.86               0   0   0   0   0   0 47457 1123 20101031  73.704233 338.109567   8.573777  1.871070 0.33805371   2.86483921 20100111 3.1E-02  8.0E-05 20100919 4.6E-02 20110106 1.1E-01 20140906 1.1E-01 20140906
    34 Circe              E. Bowell        8.51  0.15 0.70 113.5 C       0   0   0   0   0   0 53422 1522 20101031 154.277763 329.791285 184.517828  5.503783 0.10764213   2.68553074 20100816 2.8E-02 -1.6E-04 20100919 3.4E-02 20111012 4.7E-02 20130130 4.7E-02 20130130
    35 Leukothea          E. Bowell        8.5   0.15 0.70 103.1 C       0   0   0   0   0   0 54854 1406 20101031 344.417808 213.812634 353.800794  7.934742 0.22745172   2.99241488 20100807 2.4E-02  5.2E-05 20100919 6.8E-02 20110610 7.7E-02 20160516 7.7E-02 20160516
    36 Atalante           E. Bowell        8.46  0.15 0.73 105.6         0   0   0   0   0   0 52789  737 20101031 350.505453  46.803142 358.451859 18.436075 0.30304603   2.74825233 20100828 6.6E-02  2.6E-04 20100919 6.8E-02 20101004 7.4E-02 20190913 7.3E-02 20190913
    37 Fides              E. Bowell        7.29  0.24 0.84 108.3 S       0   0   0   0   0   0 56568 1469 20101031 350.755676  62.528619   7.328983  3.073891 0.17367367   2.64249822 20100908 3.6E-02  2.7E-04 20100919 5.4E-02 20101127 5.4E-02 20101127 5.4E-02 20101127
    38 Leda               E. Bowell        8.32  0.15 0.72 115.9 C       0   0   0   0   0   0 56314 1151 20101031  50.575953 169.759425 295.788111  6.971694 0.15410611   2.74043828 20100713 2.0E-02  2.2E-05 20100919 4.5E-02 20110419 5.5E-02 20181130 5.5E-02 20181130
    39 Laetitia           E. Bowell        6.1   0.15 0.89 149.5 S       0   0   0   0   0   0 53583 4678 20101031 358.581805 208.844900 157.159751 10.384719 0.11547736   2.77009650 20100811 3.1E-02 -2.1E-05 20100919 3.1E-02 20100917 3.5E-02 20190821 3.5E-02 20190821
    40 Harmonia           E. Bowell        7.0   0.15 0.85 107.6 S       0   0   0   0   0   9 53266 4090 20101031 292.195169 270.087945  94.277326  4.256572 0.04676038   2.26678939 20100811 1.6E-02 -6.5E-05 20100919 3.0E-02 20111111 3.5E-02 20140901 3.4E-02 20140901
    41 Daphne             E. Bowell        7.12  0.10 0.73 174.0 C       0   0   0   0   0   0 52637 1221 20101031 187.849624  46.101833 178.101430 15.792737 0.27408822   2.76120826 20100908 2.8E-02  1.4E-04 20100919 3.5E-02 20101122 7.4E-02 20170415 7.4E-02 20170415
    42 Isis               E. Bowell        7.53  0.15 0.88 100.2 S       0   0   0   0   0   9 56123 1468 20101031 123.729216 236.529355  84.374341  8.527532 0.22317799   2.44112332 20100307 1.9E-02  6.9E-05 20100919 3.2E-02 20110113 4.9E-02 20131007 4.9E-02 20131007
    43 Ariadne            E. Bowell        7.93  0.11 0.87  65.9 S       0   0   0   0   0   0 53241 1271 20101031 284.118762  15.875988 264.913447  3.466610 0.16759893   2.20362433 20100517 2.0E-02  1.2E-05 20100919 7.8E-02 20110629 7.8E-02 20110629 7.7E-02 20110629
    44 Nysa               E. Bowell        7.03  0.46 0.70  70.6 E       0   0   8   0   0   9 53180 1765 20101031 352.700971 343.433456 131.574429  3.705781 0.14763742   2.42328386 20091025 2.3E-02  1.2E-04 20100919 5.3E-02 20110124 5.3E-02 20110124 5.3E-02 20110124
    45 Eugenia            E. Bowell        7.46  0.07 0.66 214.6 C       0   0   0   0   0   0 52678 1788 20101031  79.737058  86.004530 147.922286  6.609782 0.08131558   2.72086525 20100816 2.8E-02 -1.7E-04 20100919 3.1E-02 20111029 4.2E-02 20180321 4.2E-02 20180321
    46 Hestia             E. Bowell        8.36  0.06 0.70 124.1 C       0   0   0   0   0   0 53454 1703 20101031  29.600061 176.579765 181.138453  2.344608 0.17298622   2.52511681 20100908 3.4E-02  1.9E-04 20100919 3.9E-02 20101029 4.5E-02 20181024 4.5E-02 20181024
    47 Aglaja             E. Bowell        7.84  0.16 0.66 127.0 C       0   0   0   0   0   0 54810 1042 20101031 148.145302 314.031793   3.142426  4.984886 0.13419662   2.87866114 20100811 2.7E-02  8.2E-05 20100919 4.4E-02 20110124 7.3E-02 20180808 7.3E-02 20180808
    48 Doris              E. Bowell        6.90  0.15 0.72 221.8 C       0   0   8   0   0   0 53654 1437 20101031 228.941133 256.609730 183.741866  6.556470 0.07504683   3.10762979 20100908 3.1E-02 -1.6E-04 20100919 4.3E-02 20111006 4.8E-02 20171122 4.8E-02 20171122
    49 Pales              E. Bowell        7.8   0.15 0.75 149.8 C       0   0   0   0   0   0 53352 1118 20101031  41.446412 109.872479 286.063305  3.174486 0.22840290   3.09055513 20091220 2.6E-02  5.4E-05 20100919 4.4E-02 20110207 5.5E-02 20140820 6.6E-02 20201108
    50 Virginia           E. Bowell        9.24  0.15 0.71  99.8         0   0   0   0   0   0 55755 1490 20101031 170.235437 200.197218 173.618570  2.833176 0.28392139   2.65249036 20100828 1.6E-02 -3.2E-06 20100919 3.1E-02 20110428 5.6E-02 20120804 5.6E-02 20120804
    51 Nemausa            E. Bowell        7.35  0.08 0.77 147.9 G       0   0   0   0   0   0 53508 3926 20101031 335.909633   2.886149 176.094722  9.978164 0.06781124   2.36553795 20100811 1.3E-02  2.3E-05 20100919 3.7E-02 20110415 3.8E-02 20180301 3.8E-02 20180301
